Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
NIFTY-II.NFO,03/01/2022,13:05:52,17656.6,17656.1,50,17658,150,0,828100
NIFTY-II.NFO,03/01/2022,13:05:54,17656.6,17656.15,50,17658,150,0,828100
NIFTY-II.NFO,03/01/2022,13:05:57,17656.6,17656.25,50,17658,150,0,828100
NIFTY-II.NFO,03/01/2022,13:05:59,17656.6,17656.3,50,17658,150,0,828100
NIFTY-II.NFO,03/01/2022,13:06:00,17656.6,17656.45,50,17658,150,0,828100
NIFTY-II.NFO,03/01/2022,13:06:01,17656.6,17656.7,50,17658,150,0,828100
NIFTY-II.NFO,03/01/2022,13:06:02,17656.6,17657.2,50,17658,150,0,828100
NIFTY-II.NFO,03/01/2022,13:06:04,17656.6,17656.7,50,17658,300,0,828100
NIFTY-II.NFO,03/01/2022,13:06:05,17656.6,17656.25,800,17658,300,0,828100
NIFTY-II.NFO,03/01/2022,13:06:05,17656.6,17656.25,50,17658,300,0,828100
NIFTY-II.NFO,03/01/2022,13:06:06,17656.6,17655.95,250,17658,300,0,828100
NIFTY-II.NFO,03/01/2022,13:06:10,17656.6,17655.3,300,17658,300,0,828100
NIFTY-II.NFO,03/01/2022,13:06:10,17656.6,17655.45,300,17657.95,50,0,828100
NIFTY-II.NFO,03/01/2022,13:06:11,17656.6,17654.25,300,17657.25,400,0,828100
NIFTY-II.NFO,03/01/2022,13:06:13,17656.6,17654.8,300,17657.9,400,0,828100
NIFTY-II.NFO,03/01/2022,13:06:14,17656.6,17655.05,250,17657.85,100,0,828100
NIFTY-II.NFO,03/01/2022,13:06:16,17656.6,17655,50,17656.8,550,0,828100
NIFTY-II.NFO,03/01/2022,13:06:17,17656.6,17655,50,17657.3,400,0,828100
NIFTY-II.NFO,03/01/2022,13:06:17,17656.6,17655,50,17657.45,400,0,828100
NIFTY-II.NFO,03/01/2022,13:06:18,17657.45,17655,50,17657.1,400,50,828250
NIFTY-II.NFO,03/01/2022,13:06:19,17657.45,17655,50,17657.1,400,0,828250
NIFTY-II.NFO,03/01/2022,13:06:21,17657.45,17655,50,17657.1,50,0,828250
NIFTY-II.NFO,03/01/2022,13:06:22,17657.45,17655,50,17657.15,450,0,828250
NIFTY-II.NFO,03/01/2022,13:06:23,17657.45,17655,50,17657.65,400,0,828250
NIFTY-II.NFO,03/01/2022,13:06:24,17657.45,17655,50,17657.3,400,0,828250
NIFTY-II.NFO,03/01/2022,13:06:26,17657.45,17655,50,17657.2,400,0,828250
NIFTY-II.NFO,03/01/2022,13:06:27,17657.45,17655,50,17657.1,50,0,828250
NIFTY-II.NFO,03/01/2022,13:06:28,17657.45,17655,50,17657.05,400,0,828250
NIFTY-II.NFO,03/01/2022,13:06:28,17657.45,17655,50,17657.05,450,0,828250
NIFTY-II.NFO,03/01/2022,13:06:29,17657.45,17655,50,17656.7,50,0,828250
NIFTY-II.NFO,03/01/2022,13:06:30,17657.45,17655,50,17656.3,50,0,828250
NIFTY-II.NFO,03/01/2022,13:06:32,17657.45,17655,50,17655.95,50,0,828250
NIFTY-II.NFO,03/01/2022,13:06:33,17657.45,17655,50,17656.1,50,0,828250
NIFTY-II.NFO,03/01/2022,13:06:34,17657.45,17653.1,350,17656,50,0,828250
NIFTY-II.NFO,03/01/2022,13:06:35,17657.45,17653.15,650,17655.9,50,0,828250
NIFTY-II.NFO,03/01/2022,13:06:37,17657.45,17653.35,350,17656.15,50,0,828250
NIFTY-II.NFO,03/01/2022,13:06:38,17657.45,17654.15,350,17657.1,400,0,828250
NIFTY-II.NFO,03/01/2022,13:06:39,17657.45,17654.2,350,17657.15,50,0,828250
NIFTY-II.NFO,03/01/2022,13:06:42,17657.45,17653.4,350,17656.7,400,0,828250
NIFTY-II.NFO,03/01/2022,13:06:44,17657.45,17653.35,350,17656.35,50,0,828250
NIFTY-II.NFO,03/01/2022,13:06:45,17657.45,17653.7,400,17656.9,50,0,828250
NIFTY-II.NFO,03/01/2022,13:06:46,17657.1,17654,400,17657.1,400,100,828250
NIFTY-II.NFO,03/01/2022,13:06:47,17657.1,17655,50,17656.95,50,0,828250
NIFTY-II.NFO,03/01/2022,13:06:49,17657.1,17655,50,17656.9,400,0,828250
NIFTY-II.NFO,03/01/2022,13:06:50,17657.1,17655,50,17657.4,400,0,828250
NIFTY-II.NFO,03/01/2022,13:06:51,17657.1,17655,50,17657.05,50,0,828250
NIFTY-II.NFO,03/01/2022,13:06:52,17657.1,17655,50,17657.45,100,0,828250
NIFTY-II.NFO,03/01/2022,13:06:54,17657.45,17655,50,17657.4,50,50,828250
NIFTY-II.NFO,03/01/2022,13:06:55,17657.45,17655,50,17657.35,400,0,828250
NIFTY-II.NFO,03/01/2022,13:06:56,17657.45,17655,50,17657.1,50,0,828250
NIFTY-II.NFO,03/01/2022,13:06:57,17657.45,17655,50,17656.8,400,0,828250
NIFTY-II.NFO,03/01/2022,13:06:58,17657.45,17655,50,17656.6,400,0,828250
NIFTY-II.NFO,03/01/2022,13:06:58,17657.45,17655,50,17656.35,50,0,828250
NIFTY-II.NFO,03/01/2022,13:06:59,17657.45,17655,50,17657.1,400,0,828250
NIFTY-II.NFO,03/01/2022,13:07:01,17657.45,17655,50,17657.35,400,0,828250
NIFTY-II.NFO,03/01/2022,13:07:02,17657.45,17655,50,17657.35,450,0,828250
NIFTY-II.NFO,03/01/2022,13:07:03,17657.45,17655,50,17657.1,100,0,828250
NIFTY-II.NFO,03/01/2022,13:07:04,17657.45,17655,50,17657.1,500,0,828250
NIFTY-II.NFO,03/01/2022,13:07:05,17657.45,17655,50,17657.05,450,0,828250
NIFTY-II.NFO,03/01/2022,13:07:06,17657.45,17655,50,17657.05,400,0,828250
NIFTY-II.NFO,03/01/2022,13:07:09,17657.45,17655,50,17657,400,0,828250
NIFTY-II.NFO,03/01/2022,13:07:11,17654.1,17654.15,400,17657,400,100,828250
NIFTY-II.NFO,03/01/2022,13:07:13,17654.1,17653.65,350,17657,400,0,828250
NIFTY-II.NFO,03/01/2022,13:07:14,17654.1,17653.75,400,17657,400,0,828250
NIFTY-II.NFO,03/01/2022,13:07:15,17654.1,17653.85,50,17657,450,0,828250
NIFTY-II.NFO,03/01/2022,13:07:16,17654.1,17653.55,350,17656.75,400,0,828250
NIFTY-II.NFO,03/01/2022,13:07:17,17654.1,17653.45,350,17657,400,0,828250
NIFTY-II.NFO,03/01/2022,13:07:17,17654.1,17653.55,350,17657,400,0,828250
NIFTY-II.NFO,03/01/2022,13:07:18,17654.1,17653.65,400,17657,400,0,828250
NIFTY-II.NFO,03/01/2022,13:07:19,17654.1,17653.9,350,17657,400,0,828250
NIFTY-II.NFO,03/01/2022,13:07:20,17654.1,17654.1,350,17657.1,100,0,828250
NIFTY-II.NFO,03/01/2022,13:07:21,17653.55,17653.55,250,17656.8,400,100,828250
